ticker,date,days,impl_volatility,post
A,2022-11-09,30,0.3502705,1
A,2022-11-09,60,0.33148350000000004,1
A,2022-11-09,91,0.3319345,1
A,2022-11-09,122,0.332457,1
A,2022-11-09,152,0.331769,1
A,2022-11-09,182,0.3316735,1
A,2022-11-09,273,0.330839,1
A,2022-11-09,365,0.329401,1
A,2022-11-09,547,0.32201250000000003,1
A,2022-11-09,730,0.310578,1
AA,2022-11-09,10,0.6443525,1
AA,2022-11-09,30,0.6633755,1
AA,2022-11-09,60,0.6712024999999999,1
AA,2022-11-09,91,0.6718455,1
AA,2022-11-09,122,0.6664015,1
AA,2022-11-09,152,0.6644295,1
AA,2022-11-09,182,0.6614009999999999,1
AA,2022-11-09,273,0.6441950000000001,1
AA,2022-11-09,365,0.625147,1
AA,2022-11-09,547,0.6148739999999999,1
AA,2022-11-09,730,0.5846905,1
AADI,2022-11-09,30,0.939208,1
AADI,2022-11-09,60,0.884476,1
AADI,2022-11-09,91,0.8806309999999999,1
AADI,2022-11-09,122,0.8614855,1
AADI,2022-11-09,152,0.8757459999999999,1
AAIC,2022-11-09,30,0.739351,1
AAIC,2022-11-09,60,0.6949909999999999,1
AAIC,2022-11-09,91,0.667368,1
AAIC,2022-11-09,122,0.6474955,1
AAIC,2022-11-09,152,0.6326,1
AAL,2022-11-09,10,0.48906649999999996,1
AAL,2022-11-09,30,0.5172205,1
AAL,2022-11-09,60,0.538637,1
AAL,2022-11-09,91,0.5472475,1
AAL,2022-11-09,122,0.545596,1
AAL,2022-11-09,152,0.5386375,1
AAL,2022-11-09,182,0.5381005,1
AAL,2022-11-09,273,0.536489,1
AAL,2022-11-09,365,0.531713,1
AAL,2022-11-09,547,0.533313,1
AAL,2022-11-09,730,0.5352589999999999,1
AAN,2022-11-09,30,0.566656,1
AAN,2022-11-09,60,0.569383,1
AAN,2022-11-09,91,0.6172325000000001,1
AAN,2022-11-09,122,0.6170869999999999,1
AAN,2022-11-09,152,0.6132500000000001,1
AAN,2022-11-09,182,0.6060399999999999,1
AAOI,2022-11-09,10,0.9222984999999999,1
AAOI,2022-11-09,30,0.922274,1
AAOI,2022-11-09,60,0.9222725,1
AAOI,2022-11-09,91,0.9222714999999999,1
AAOI,2022-11-09,122,0.9222714999999999,1
AAOI,2022-11-09,152,0.9222714999999999,1
AAOI,2022-11-09,182,0.9222714999999999,1
AAON,2022-11-09,30,0.327156,1
AAON,2022-11-09,60,0.343808,1
AAON,2022-11-09,91,0.3456455,1
AAON,2022-11-09,122,0.34625649999999997,1
AAON,2022-11-09,152,0.3465545,1
AAP,2022-11-09,30,0.38359699999999997,1
AAP,2022-11-09,60,0.365247,1
AAP,2022-11-09,91,0.3677365,1
AAP,2022-11-09,122,0.371783,1
AAP,2022-11-09,152,0.37120200000000003,1
AAP,2022-11-09,182,0.3672905,1
AAP,2022-11-09,273,0.36515200000000003,1
AAP,2022-11-09,365,0.360609,1
AAPB,2022-11-09,30,0.9093384999999999,1
AAPB,2022-11-09,60,0.77512,1
AAPB,2022-11-09,91,0.7404755000000001,1
AAPB,2022-11-09,122,0.524064,1
AAPB,2022-11-09,152,0.5057335000000001,1
AAPD,2022-11-09,30,0.3525785,1
AAPD,2022-11-09,60,0.383254,1
AAPD,2022-11-09,91,0.3873875,1
AAPD,2022-11-09,122,0.396121,1
