ticker,date,days,impl_volatility,post,key
A,2022-11-08,30,0.34221749999999995,0,30_0
A,2022-11-08,60,0.32394500000000004,0,60_0
A,2022-11-08,91,0.32512850000000004,0,91_0
A,2022-11-08,122,0.3269065,0,122_0
A,2022-11-08,152,0.327531,0,152_0
A,2022-11-08,182,0.327694,0,182_0
A,2022-11-08,273,0.326283,0,273_0
A,2022-11-08,365,0.3239205,0,365_0
A,2022-11-08,547,0.3175655,0,547_0
A,2022-11-08,730,0.30765750000000003,0,730_0
A,2022-11-09,30,0.3502705,1,30_1
A,2022-11-09,60,0.33148350000000004,1,60_1
A,2022-11-09,91,0.3319345,1,91_1
A,2022-11-09,122,0.332457,1,122_1
A,2022-11-09,152,0.331769,1,152_1
A,2022-11-09,182,0.3316735,1,182_1
A,2022-11-09,273,0.330839,1,273_1
A,2022-11-09,365,0.329401,1,365_1
A,2022-11-09,547,0.32201250000000003,1,547_1
A,2022-11-09,730,0.310578,1,730_1
AA,2022-11-08,10,0.6344825000000001,0,10_0
AA,2022-11-08,30,0.6452424999999999,0,30_0
AA,2022-11-08,60,0.6584485,0,60_0
AA,2022-11-08,91,0.660908,0,91_0
AA,2022-11-08,122,0.6544895,0,122_0
AA,2022-11-08,152,0.6528179999999999,0,152_0
AA,2022-11-08,182,0.650694,0,182_0
AA,2022-11-08,273,0.637768,0,273_0
AA,2022-11-08,365,0.6207389999999999,0,365_0
AA,2022-11-08,547,0.610773,0,547_0
AA,2022-11-08,730,0.5830635,0,730_0
AA,2022-11-09,10,0.6443525,1,10_1
AA,2022-11-09,30,0.6633755,1,30_1
AA,2022-11-09,60,0.6712024999999999,1,60_1
AA,2022-11-09,91,0.6718455,1,91_1
AA,2022-11-09,122,0.6664015,1,122_1
AA,2022-11-09,152,0.6644295,1,152_1
AA,2022-11-09,182,0.6614009999999999,1,182_1
AA,2022-11-09,273,0.6441950000000001,1,273_1
AA,2022-11-09,365,0.625147,1,365_1
AA,2022-11-09,547,0.6148739999999999,1,547_1
AA,2022-11-09,730,0.5846905,1,730_1
AAL,2022-11-08,10,0.47852300000000003,0,10_0
AAL,2022-11-08,30,0.505204,0,30_0
AAL,2022-11-08,60,0.5241905,0,60_0
AAL,2022-11-08,91,0.5312835,0,91_0
AAL,2022-11-08,122,0.5322945,0,122_0
AAL,2022-11-08,152,0.5296075,0,152_0
AAL,2022-11-08,182,0.5296510000000001,0,182_0
AAL,2022-11-08,273,0.527936,0,273_0
AAL,2022-11-08,365,0.5261009999999999,0,365_0
AAL,2022-11-08,547,0.529775,0,547_0
AAL,2022-11-08,730,0.5310585,0,730_0
AAL,2022-11-09,10,0.48906649999999996,1,10_1
AAL,2022-11-09,30,0.5172205,1,30_1
AAL,2022-11-09,60,0.538637,1,60_1
AAL,2022-11-09,91,0.5472475,1,91_1
AAL,2022-11-09,122,0.545596,1,122_1
AAL,2022-11-09,152,0.5386375,1,152_1
AAL,2022-11-09,182,0.5381005,1,182_1
AAL,2022-11-09,273,0.536489,1,273_1
AAL,2022-11-09,365,0.531713,1,365_1
AAL,2022-11-09,547,0.533313,1,547_1
AAL,2022-11-09,730,0.5352589999999999,1,730_1
AAN,2022-11-08,30,0.626297,0,30_0
AAN,2022-11-08,60,0.6262380000000001,0,60_0
AAN,2022-11-08,91,0.6718135000000001,0,91_0
AAN,2022-11-08,122,0.6643475,0,122_0
AAN,2022-11-08,152,0.627394,0,152_0
AAN,2022-11-08,182,0.572692,0,182_0
AAN,2022-11-09,30,0.566656,1,30_1
AAN,2022-11-09,60,0.569383,1,60_1
AAN,2022-11-09,91,0.6172325000000001,1,91_1
AAN,2022-11-09,122,0.6170869999999999,1,122_1
AAN,2022-11-09,152,0.6132500000000001,1,152_1
AAN,2022-11-09,182,0.6060399999999999,1,182_1
AAOI,2022-11-08,10,0.8667145,0,10_0
AAOI,2022-11-08,30,0.8667145,0,30_0
AAOI,2022-11-08,60,0.866718,0,60_0
AAOI,2022-11-08,91,0.8670804999999999,0,91_0
AAOI,2022-11-08,122,0.8757079999999999,0,122_0
AAOI,2022-11-08,152,0.919909,0,152_0
AAOI,2022-11-08,182,0.9469624999999999,0,182_0
AAOI,2022-11-09,10,0.9222984999999999,1,10_1
AAOI,2022-11-09,30,0.922274,1,30_1
AAOI,2022-11-09,60,0.9222725,1,60_1
AAOI,2022-11-09,91,0.9222714999999999,1,91_1
AAOI,2022-11-09,122,0.9222714999999999,1,122_1
AAOI,2022-11-09,152,0.9222714999999999,1,152_1
AAOI,2022-11-09,182,0.9222714999999999,1,182_1
AAP,2022-11-08,30,0.3787415,0,30_0
AAP,2022-11-08,60,0.3538165,0,60_0
AAP,2022-11-08,91,0.3565645,0,91_0
AAP,2022-11-08,122,0.36274300000000004,0,122_0
AAP,2022-11-08,152,0.3633245,0,152_0
AAP,2022-11-08,182,0.360794,0,182_0
AAP,2022-11-08,273,0.3595875,0,273_0
AAP,2022-11-08,365,0.35578350000000003,0,365_0
AAP,2022-11-09,30,0.38359699999999997,1,30_1
AAP,2022-11-09,60,0.365247,1,60_1
AAP,2022-11-09,91,0.3677365,1,91_1
AAP,2022-11-09,122,0.371783,1,122_1
AAP,2022-11-09,152,0.37120200000000003,1,152_1
AAP,2022-11-09,182,0.3672905,1,182_1
AAP,2022-11-09,273,0.36515200000000003,1,273_1
AAP,2022-11-09,365,0.360609,1,365_1
AAPL,2022-11-08,10,0.3620365,0,10_0
AAPL,2022-11-08,30,0.3585465,0,30_0
AAPL,2022-11-08,60,0.357632,0,60_0
AAPL,2022-11-08,91,0.359776,0,91_0
AAPL,2022-11-08,122,0.3598205,0,122_0
AAPL,2022-11-08,152,0.35783699999999996,0,152_0
AAPL,2022-11-08,182,0.3571145,0,182_0
AAPL,2022-11-08,273,0.352804,0,273_0
AAPL,2022-11-08,365,0.34577899999999995,0,365_0
AAPL,2022-11-08,547,0.340345,0,547_0
AAPL,2022-11-08,730,0.3349535,0,730_0
AAPL,2022-11-09,10,0.3860945,1,10_1
AAPL,2022-11-09,30,0.37700500000000003,1,30_1
AAPL,2022-11-09,60,0.37113050000000003,1,60_1
AAPL,2022-11-09,91,0.37059200000000003,1,91_1
